filename,width,height,class,xmin,ymin,xmax,ymax
4402.jpg,5184,3456,dolphin,1978.0,1410.0,3554.9999999999995,2222.0
4403.jpg,5184,3456,dolphin,302.0,1047.0,1198.0,1338.0
4403.jpg,5184,3456,dolphin,2185.0,1234.0,2311.0,1364.0
4403.jpg,5184,3456,dolphin,2528.0,1221.0,4689.0,1538.0
4502.jpg,5184,3456,dolphin,1.0,1700.0,2215.0,2075.0
5402.jpg,5184,3456,dolphin,2120.0,1778.0,2573.0,2086.0
5403.jpg,5184,3456,dolphin,2256.0,1821.0,2686.0,3038.0000000000005
5404.jpg,5184,3456,dolphin,0.0,624.0,233.0,900.0
5405.jpg,5184,3456,dolphin,2607.0,1508.0,3307.0,2208.0
5406.jpg,5184,3456,dolphin,2272.0,1496.0,2546.0,1752.0
5407.jpg,5184,3456,dolphin,1780.9999999999998,1165.0,2190.0,1443.0
5407.jpg,5184,3456,dolphin,1599.0,1273.0,3164.0,1682.0
5408.jpg,5184,3456,dolphin,1994.0,1604.0,3216.0,2039.0
5409.jpg,5184,3456,dolphin,1864.0,1821.0,2916.0,2121.0
5410.jpg,5184,3456,dolphin,1891.0,1803.0,2708.0,3541.9999999999995
5411.jpg,5184,3456,dolphin,746.0,1817.0000000000002,1398.0,2213.0
4503.jpg,5184,3456,dolphin,19.000000000000156,2171.0,3128.0,2979.0
5412.jpg,5184,3456,dolphin,950.0,748.0,1336.0000000000005,900.0
5412.jpg,5184,3456,dolphin,505.99999999999994,752.0000000000002,1393.0,900.0
5413.jpg,5184,3456,dolphin,1819.9999999999998,1647.0,2741.9999999999995,2082.0
5414.jpg,5184,3456,dolphin,2042.0,1674.0,2220.0,1803.9999999999998
5416.jpg,5184,3456,dolphin,1340.9999999999995,0.0,1600.0,155.0
5417.jpg,5184,3456,dolphin,3033.0,1296.0,3373.0,1822.0
5418.jpg,5184,3456,dolphin,2468.0,1508.0,3407.0,1826.0
5419.jpg,5184,3456,dolphin,2672.0000000000005,1600.0,3385.0000000000005,1883.0000000000002
5420.jpg,5184,3456,dolphin,2676.9999999999995,1239.0,3381.0,1708.0
5421.jpg,5184,3456,dolphin,2129.0,968.9999999999999,3516.0,1491.0
4504.jpg,5184,3456,dolphin,0.0,503.0,1600.0,900.0
4504.jpg,5184,3456,dolphin,0.0,557.0,367.0,900.0
5422.jpg,5472,3648,dolphin,1.0,2081.0,1982.9999999999998,2808.0
5422.jpg,5472,3648,dolphin,1850.0,2122.0,4050.0000000000005,2985.0
5423.jpg,5184,3456,dolphin,2007.0,1547.0,2912.0000000000005,1951.9999999999998
5424.jpg,5184,3456,dolphin,2368.0,1152.0000000000002,2864.0,1609.0
5425.jpg,5184,3456,dolphin,1416.0,1100.0,1719.9999999999998,1469.0
5425.jpg,5184,3456,dolphin,3294.0,1321.0,3980.9999999999995,1626.0
5426.jpg,5184,3456,dolphin,1955.0000000000002,1977.9999999999998,2268.0,2143.0
5427.jpg,5472,3648,dolphin,1772.0,1434.0,2386.0,3057.0
5428.jpg,5184,3456,dolphin,985.0,1552.0,1924.0,1969.0
5428.jpg,5184,3456,dolphin,2185.0,1739.0,2733.0,2004.0000000000002
5428.jpg,5184,3456,dolphin,2542.0,1747.0000000000002,2846.0,2008.0
5429.jpg,5184,3456,dolphin,1270.0,2885.0,1596.0,3259.0
5430.jpg,5184,3456,dolphin,2833.0,2226.0,4386.0,2595.0
5431.jpg,5184,3456,dolphin,2890.0,1296.0,3399.0,1483.0
4505.jpg,5184,3456,dolphin,1519.0000000000002,1188.0,4107.0,2388.0
5434.jpg,5184,3456,dolphin,1456.0,2438.0,1743.0,3064.0000000000005
5435.jpg,5184,3456,dolphin,2811.0,2265.0,3294.0,2621.0
5436.jpg,5184,3456,dolphin,1520.0000000000002,1382.0,3729.0,2143.0
5439.jpg,5184,3456,dolphin,1725.0,3567.9999999999995,1854.0000000000002,3666.0
5439.jpg,5184,3456,dolphin,1680.0,3174.0000000000005,1922.0000000000002,3655.0
5439.jpg,5184,3456,dolphin,1701.0,2855.0,1937.0000000000002,3249.0000000000005
5440.jpg,5184,3456,dolphin,1433.0000000000002,1439.0,2981.0,1991.0000000000002
5441.jpg,5184,3456,dolphin,2077.0,1395.0,3477.0,1960.0
4506.jpg,5184,3456,dolphin,2386.0,654.0,3332.0,1625.0
5442.jpg,5184,3456,dolphin,2333.0,2165.0,2507.0,2356.0
5443.jpg,5184,3456,dolphin,2124.0,2113.0,2703.0000000000005,2386.0
5444.jpg,5184,3456,dolphin,1724.0,1491.0,2003.0,1739.0
5444.jpg,5184,3456,dolphin,1351.0,1495.0,2072.0,1773.0000000000002
5445.jpg,5184,3456,dolphin,2637.0,1395.0,3946.0,2147.0
5446.jpg,5184,3456,dolphin,1852.0,2446.9999999999995,2178.0,3003.0
5447.jpg,5184,3456,dolphin,1555.0,1547.9999999999998,3355.0,2087.0
5448.jpg,5184,3456,dolphin,1735.0000000000002,633.0,2270.0,2033.0
5450.jpg,5184,3456,dolphin,2033.0,2095.0,2342.0,2239.0
5451.jpg,5184,3456,dolphin,2177.0,422.0000000000001,3168.0000000000005,891.0
5452.jpg,5184,3456,dolphin,1728.9999999999998,1113.0000000000002,2507.0000000000005,1387.0
5453.jpg,5472,3648,dolphin,4298.0,885.0,4943.0,1217.0
5453.jpg,5472,3648,dolphin,3680.0,985.0,4375.0,1258.0
5454.jpg,5184,3456,dolphin,2820.0,1004.0000000000001,4159.0,1326.0
5455.jpg,5184,3456,dolphin,751.0,1386.0,3442.0,2360.0
5456.jpg,5184,3456,dolphin,1616.0000000000002,1195.0,3494.0,1960.0
5457.jpg,5184,3456,dolphin,1412.9999999999998,90.0,1609.0,677.0
